shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
237155.130237155,49.2547174,7.0403373,3
237155.130237155,49.276422,7.0329183,4
237155.131237155,49.2270846,7.0207438,0
237155.131237155,49.2257493,7.0355784,1
237155.131237155,49.2375428,7.0561765,2
237155.131237155,49.2547174,7.0403373,3
237155.131237155,49.276422,7.0329183,4
237155.132237155,49.2270846,7.0207438,0
237155.132237155,49.2257493,7.0355784,1
237155.132237155,49.2375428,7.0561765,2
237155.132237155,49.2547174,7.0403373,3
237155.132237155,49.276422,7.0329183,4
237155.133237155,49.2270846,7.0207438,0
237155.133237155,49.2257493,7.0355784,1
237155.133237155,49.2375428,7.0561765,2
237155.133237155,49.2547174,7.0403373,3
237155.133237155,49.276422,7.0329183,4
237155.134237155,49.2270846,7.0207438,0
237155.134237155,49.2257493,7.0355784,1
237155.134237155,49.2375428,7.0561765,2
237155.134237155,49.2547174,7.0403373,3
237155.134237155,49.276422,7.0329183,4
237155.135237155,49.2270846,7.0207438,0
237155.135237155,49.2257493,7.0355784,1
237155.135237155,49.2375428,7.0561765,2
237155.135237155,49.2547174,7.0403373,3
237155.135237155,49.276422,7.0329183,4
237155.136237155,49.2270846,7.0207438,0
237155.136237155,49.2257493,7.0355784,1
237155.136237155,49.2375428,7.0561765,2
237155.136237155,49.2547174,7.0403373,3
237155.136237155,49.276422,7.0329183,4
237155.137237155,49.2270846,7.0207438,0
237155.137237155,49.2257493,7.0355784,1
237155.137237155,49.2375428,7.0561765,2
237155.137237155,49.2547174,7.0403373,3
237155.137237155,49.276422,7.0329183,4
237155.138237155,49.2270846,7.0207438,0
237155.138237155,49.2257493,7.0355784,1
237155.138237155,49.2375428,7.0561765,2
237155.138237155,49.2547174,7.0403373,3
237155.138237155,49.276422,7.0329183,4
237155.139237155,49.2270846,7.0207438,0
237155.139237155,49.2257493,7.0355784,1
237155.139237155,49.2375428,7.0561765,2
237155.139237155,49.2547174,7.0403373,3
237155.139237155,49.276422,7.0329183,4
237155.140237155,49.2270846,7.0207438,0
237155.140237155,49.2257493,7.0355784,1
237155.140237155,49.2375428,7.0561765,2
237155.140237155,49.2547174,7.0403373,3
237155.140237155,49.276422,7.0329183,4
237155.141237155,49.2270846,7.0207438,0
237155.141237155,49.2257493,7.0355784,1
237155.141237155,49.2375428,7.0561765,2
237155.141237155,49.2547174,7.0403373,3
237155.141237155,49.276422,7.0329183,4
237155.142237155,49.2270846,7.0207438,0
237155.142237155,49.2257493,7.0355784,1
237155.142237155,49.2375428,7.0561765,2
237155.142237155,49.2547174,7.0403373,3
237155.142237155,49.276422,7.0329183,4
237155.143237155,49.2270846,7.0207438,0
237155.143237155,49.2257493,7.0355784,1
